id,cpu_pct,pred_prob,pred_label,true_label
1,3.4,0.0,0,0
2,1.3,0.19,0,1
3,2.7,0.0,0,1
4,6.3,0.07,0,1
5,9.5,0.06,0,1
6,8.2,0.0,0,0
7,8.1,0.0,0,1
8,1.4,0.0,0,0
9,1.6,0.0,0,0
10,8.2,0.32,0,1
11,6.2,0.04,0,1
12,7.2,0.0,0,0
13,6.2,0.0,0,0
14,7.6,0.0,0,0
15,17.4,0.11,0,1
16,11.4,0.0,0,0
17,6.2,0.34,0,1
18,9.5,0.0,0,0
19,8.3,0.0,0,0
20,1.9,0.01,0,0
21,7.7,0.0,0,0
22,100.0,0.14,0,1
23,4.8,0.03,0,1
24,5.7,0.0,0,0
25,6.3,0.33,0,1
26,10.7,0.0,0,0
27,12.1,0.18,0,1
28,11.7,0.0,0,0
29,10.7,0.0,0,0
30,41.2,0.11,0,0
31,19.3,0.0,0,1
32,10.0,0.03,0,1
33,7.3,0.02,0,1
34,10.3,0.31,0,1
35,18.6,0.01,0,0
36,10.0,0.15,0,1
37,5.6,0.01,0,0
38,13.4,0.03,0,1
39,5.8,0.02,0,1
40,14.3,0.01,0,0
41,5.7,0.04,0,0
42,0.0,0.13,0,1
43,0.0,0.0,0,0
44,2.6,0.03,0,1
45,3.3,0.0,0,0
46,2.1,0.07,0,1
47,3.1,0.14,0,1
48,13.3,0.06,0,1
49,1.7,0.02,0,1
50,11.8,0.09,0,1
51,8.2,0.29,0,1
52,100.0,0.0,0,0
53,0.0,0.31,0,1
54,4.8,0.0,0,0
55,11.1,0.22,0,1
56,4.6,0.0,0,0
57,7.6,0.29,0,1
58,0.0,0.0,0,0
59,9.2,0.03,0,1
60,1.4,0.12,0,1
61,4.8,0.17,0,1
62,8.6,0.0,0,0
63,9.8,0.0,0,0
64,8.2,0.06,0,1
65,4.8,0.07,0,1
66,1.2,0.0,0,0
67,3.2,0.06,0,1
68,3.8,0.0,0,0
69,0.0,0.04,0,0
70,0.0,0.34,0,1
71,0.0,0.0,0,0
72,3.3,0.06,0,1
73,17.5,0.0,0,1
74,11.3,0.04,0,1
75,5.2,0.02,0,1
76,7.7,0.05,0,0
77,6.8,0.0,0,1
78,5.0,0.01,0,0
79,7.7,0.0,0,0
80,5.9,0.26,0,1
81,5.1,0.0,0,0
82,7.1,0.04,0,1
83,1.6,0.01,0,0
84,1.6,0.03,0,1
85,7.9,0.0,0,0
86,1.6,0.13,0,1
87,10.8,0.29,0,1
88,5.9,0.19,0,1
89,11.8,0.01,0,0
90,0.0,0.01,0,0
91,6.6,0.0,0,0
92,2.2,0.04,0,0
93,10.2,0.0,0,0
94,9.5,0.0,0,1
95,2.9,0.16,0,1
96,13.0,0.0,0,1
97,5.6,0.0,0,0
98,15.2,0.08,0,0
99,2.4,0.0,0,0
100,9.5,0.02,0,0
101,9.7,0.03,0,1
102,7.1,0.08,0,0
103,12.0,0.29,0,1
104,10.1,0.01,0,0
105,3.8,0.0,0,0
106,1.9,0.04,0,1
107,3.6,0.33,0,1
108,3.6,0.01,0,0
109,3.3,0.0,0,0
110,5.1,0.32,0,1
111,4.4,0.04,0,0
112,41.7,0.02,0,0
113,11.8,0.19,0,1
114,27.3,0.0,0,1
115,24.2,0.0,0,0
116,21.4,0.0,0,1
117,64.7,0.0,0,0
118,2.1,0.33,0,1
119,4.5,0.0,0,1
120,9.5,0.09,0,1
121,0.4,0.0,0,0
122,4.8,0.34,0,1
123,14.1,0.0,0,0
124,14.5,0.0,0,0
125,16.4,0.08,0,1
126,11.9,0.11,0,1
127,4.8,0.0,0,1
128,4.3,0.15,0,1
129,10.6,0.08,0,0
130,100.0,0.0,0,1
131,6.8,0.0,0,0
132,0.0,0.34,0,1
133,1.6,0.15,0,1
134,6.0,0.01,0,0
135,12.7,0.0,0,0
136,19.6,0.06,0,0
137,11.8,0.04,0,1
138,24.5,0.01,0,0
139,7.7,0.34,0,1
140,11.3,0.0,0,0
141,10.3,0.12,0,1
142,11.1,0.0,0,0
143,8.7,0.01,0,0
